id,appointment_id,name,price,loyalty_points
f1fc7009-0c44-4f89-ac98-5de9ce58095c,7416ebc3-12ce-4000-87fb-82973722ebf4,Full Head Colour,85.0,80
c47d4d1d-30e8-45f8-bfb1-89122fceac2a,e01901d2-bbdc-485f-a3ee-8d4a5e8d77fe,Eyebrow Tint,7.0,10
40f75040-fbad-484d-8c55-32790ee9ade3,e01901d2-bbdc-485f-a3ee-8d4a5e8d77fe,Spray Tan,18.0,20
277a58ca-31ca-4715-a7a2-af9af073a4da,57b23971-74f4-464c-b79b-3326cd01fc15,Eyebrow Tint,7.0,10
7f8f112c-1804-45c1-8166-9f1395c1f299,35d69069-1b3f-4921-b048-65765d8f495f,Manicure,26.0,20
a1a5b909-c2b9-4306-a81e-0f415372d493,35d69069-1b3f-4921-b048-65765d8f495f,Leg Wax,40.0,40
1a2605f1-9579-4935-af1c-e14989f692c5,35d69069-1b3f-4921-b048-65765d8f495f,Eyebrow Tint,7.0,10
4c6b7ed3-910a-43c0-a1b6-27e835907e30,76544614-e172-44fd-a5a2-a0ac172630ca,Scalp Massage,21.0,20
176129be-3ec4-4c86-866f-f463c63ff0f6,49eb6e7f-1844-4922-ae6f-ba546cdd2551,Spray Tan,18.0,20
ba7890fc-b2be-4ad5-af21-d258f4dcef8d,49eb6e7f-1844-4922-ae6f-ba546cdd2551,Skin Peel,60.0,60
f7918019-d906-40de-9324-6de8156c8e52,f62408c5-9d50-4895-9c5c-722199082524,Eyebrow Wax,15.0,15
86405d0c-d475-4d64-a66a-42a8c638fe3d,f62408c5-9d50-4895-9c5c-722199082524,Spray Tan,18.0,20
860e86dc-3804-4923-956b-42478dc08a12,10c242b3-385c-413e-a6e6-2e788291ee91,Skin Peel,60.0,60
eb0c4f16-5f16-4fb9-bee0-0f1af43adc95,10c242b3-385c-413e-a6e6-2e788291ee91,Cut & Style,28.0,30
5d03ffab-3218-49e9-8560-2a54fbbf1950,10c242b3-385c-413e-a6e6-2e788291ee91,Blowdry,20.0,20
016549bf-72a0-4d87-bf88-a7faa8eb01aa,76f2857c-9242-4adc-ba42-e8d391caea9d,Pedicure,46.0,40
6c23e051-c564-489e-b3ba-f6b308d8281b,921597eb-5f20-4eec-9c36-6df0ef21ed67,Pedicure,46.0,40
697c78af-0bc5-4944-aee3-e00a5511e67d,921597eb-5f20-4eec-9c36-6df0ef21ed67,Scalp Massage,21.0,20
02b2d4b3-ee98-49d0-96a3-d2a8b032b9d5,921597eb-5f20-4eec-9c36-6df0ef21ed67,Leg Wax,40.0,40
e9885fa2-aafb-4003-a3f4-c4cc9c952218,603418e0-bc71-44b8-81a9-b1f36c8364f7,Blowdry,20.0,20
92010c9e-7368-48b6-81ba-2b9165f41783,603418e0-bc71-44b8-81a9-b1f36c8364f7,Cut & Style,28.0,30
18a4eb92-c3bb-428c-8635-e8dc5573a446,603418e0-bc71-44b8-81a9-b1f36c8364f7,Eyebrow Tint,7.0,10
