id,client_id,start_time,end_time
7416ebc3-12ce-4000-87fb-82973722ebf4,263f67fa-ce8f-447b-98cf-317656542216,2016-02-07 17:15:00 +0000,2016-02-07 20:15:00 +0000
e01901d2-bbdc-485f-a3ee-8d4a5e8d77fe,7f71a7f3-629b-42c2-a903-9460bf6b1891,2016-02-10 13:00:00 +0000,2016-02-10 13:45:00 +0000
57b23971-74f4-464c-b79b-3326cd01fc15,690133c1-785c-49b1-8c59-4416a8545260,2016-02-11 14:30:00 +0000,2016-02-11 15:00:00 +0000
35d69069-1b3f-4921-b048-65765d8f495f,8c4ee803-4c54-4087-a17f-9c53041d35c9,2016-02-12 13:15:00 +0000,2016-02-12 14:15:00 +0000
76544614-e172-44fd-a5a2-a0ac172630ca,db453d54-d7ef-4cc3-b342-52b80fa0936a,2016-02-14 09:45:00 +0000,2016-02-14 12:45:00 +0000
49eb6e7f-1844-4922-ae6f-ba546cdd2551,79931449-7ca4-4db8-aec0-2c78e08f6bfc,2016-02-14 14:15:00 +0000,2016-02-14 15:15:00 +0000
f62408c5-9d50-4895-9c5c-722199082524,d7fad868-7517-4a1b-a234-e2450ca65ec4,2016-02-20 17:15:00 +0000,2016-02-20 17:45:00 +0000
10c242b3-385c-413e-a6e6-2e788291ee91,aaa9abe4-53cb-47a5-87e6-c56a4496e9f4,2016-02-21 09:15:00 +0000,2016-02-21 09:45:00 +0000
76f2857c-9242-4adc-ba42-e8d391caea9d,d94ad66f-f1d1-46ad-aaaf-423965dba2fa,2016-02-21 11:00:00 +0000,2016-02-21 14:00:00 +0000
921597eb-5f20-4eec-9c36-6df0ef21ed67,dce75599-0164-49da-b266-74026ea078d4,2016-02-22 11:30:00 +0000,2016-02-22 14:30:00 +0000
603418e0-bc71-44b8-81a9-b1f36c8364f7,e318192c-e6c7-4b38-bc83-591f54f6d5ab,2016-02-23 14:45:00 +0000,2016-02-23 15:45:00 +0000
54b186f6-bac3-495c-9873-54ec806e9f40,08ced56c-f223-4f41-b5dc-76eb6fa15b93,2016-02-24 11:00:00 +0000,2016-02-24 11:20:00 +0000
5fdf2825-b1b3-4fa8-82e2-9b4b81f0ad7d,88341059-ecaa-44cc-912e-669a4fbbd63e,2016-02-25 14:45:00 +0000,2016-02-25 14:55:00 +0000
14933cc5-a18d-4a4c-9353-f863ca82308d,1f0bf5b2-9e9e-4f8d-b07a-ec330e1ad2cb,2016-02-26 12:45:00 +0000,2016-02-26 13:15:00 +0000
8b2d9475-2ac5-44fa-979e-52282f79144f,65b27e1c-d8be-4a35-be9f-89af57356e2c,2016-02-28 14:30:00 +0000,2016-02-28 14:40:00 +0000
