id,appointment_id,name,price,loyalty_points
d2d3b92d-f9b5-48c5-bf31-88c28e3b73ac,7416ebc3-12ce-4000-87fb-82973722ebf4,Shampoo,19.5,20
5bd41515-4c91-4ea7-9b0e-266617097852,7416ebc3-12ce-4000-87fb-82973722ebf4,Moistureiser,30.0,30
68e2105e-a8bb-48bc-97bd-d43411f86c0e,57b23971-74f4-464c-b79b-3326cd01fc15,Shampoo,19.5,20
ab9ae272-d534-443d-9606-93ddce252d58,76544614-e172-44fd-a5a2-a0ac172630ca,Shampoo,19.5,20
fe25f836-44d7-4dba-888e-9c55c9b91dde,49eb6e7f-1844-4922-ae6f-ba546cdd2551,Body Wash,11.0,10
8012bdd1-2b26-4ae7-a650-9e3d26b3708d,76f2857c-9242-4adc-ba42-e8d391caea9d,Cleanser,20.0,20
efccaa81-22d8-4bef-bcc5-4e2d76921a6a,76f2857c-9242-4adc-ba42-e8d391caea9d,Moistureiser,30.0,30
bb37733d-34af-4ce8-9b6d-38b6388e77b5,921597eb-5f20-4eec-9c36-6df0ef21ed67,Mascara,20.0,10
c70d5a25-5881-456d-a4d9-b8429ec6f166,921597eb-5f20-4eec-9c36-6df0ef21ed67,Foundation,25.0,10
2b2fe59f-f0ee-451e-bb92-6d2bd4e7f118,603418e0-bc71-44b8-81a9-b1f36c8364f7,Styling Gel,21.5,20
0fd7cde8-f3c3-4f8b-97c3-879e98dc4fb0,603418e0-bc71-44b8-81a9-b1f36c8364f7,Body Lotion,40.0,40
3b3d3889-769f-4a7e-8ac9-399bff1e9040,54b186f6-bac3-495c-9873-54ec806e9f40,Moistureiser,30.0,30
dd6e8b38-fcba-4f10-bbdd-9ef3afa73ea6,54b186f6-bac3-495c-9873-54ec806e9f40,Anti Ageing Cream,15.0,15
e3e321d2-f0a2-4135-837d-c1eac8877e29,3c595a8e-5803-4c56-95d1-d7725fbc455c,Shampoo,19.5,20
d6afdc20-063f-4e61-8e01-ee7af883ef6d,3c595a8e-5803-4c56-95d1-d7725fbc455c,Shampoo,19.5,20
a368353b-2274-44dd-a2d3-d3fd96bd2267,d613bc13-0f8d-4cb9-aea0-ad5200b873fc,Lip Gloss,32.0,15
1ac97fa8-417b-423f-bad1-c779da86caac,ac6032ba-8e0f-4f66-acd2-a06d0bc874ec,Conditioner,10.0,10
ad604d26-c785-4000-a55d-d637b00ef15d,ac6032ba-8e0f-4f66-acd2-a06d0bc874ec,Lip Gloss,32.0,15
c590e721-3acd-44be-82bc-758ad4a08061,07a77659-21b9-4eda-9f4e-54ea8b14f084,Moistureiser,30.0,30
c170ac82-c9a6-41ea-8c41-a6538be9545f,07a77659-21b9-4eda-9f4e-54ea8b14f084,Body Wash,11.0,10
7604730b-9361-4756-9be3-1c92fcabc17e,4afc90d1-4751-4842-bba3-9af64a708f10,Cleanser,20.0,20
ec1d6e55-c90e-4808-b5e9-ab5ce5312642,2878e8b1-23bf-4225-abaa-db4f06bdee61,Body Wash,11.0,10
b81ea13c-6e10-40a4-9d4d-ca8aeca2b29c,db9cc646-0fbd-4d2b-bf0f-2b7f6e4c358d,Hairspray,12.5,10
1ae23b0f-1ea4-4dae-aae5-446c81c7e582,ad1d2c3f-5cf6-457c-a021-bbdc830b552a,Lip Gloss,32.0,15
618cbfd8-7404-4a9c-9161-caf424a31dbb,ad1d2c3f-5cf6-457c-a021-bbdc830b552a,Mascara,20.0,10
8243dcac-a101-43f5-b953-af5849f78eec,89a1d4cd-7be6-4aab-9fc7-8841635dfa91,Conditioner,10.0,10
4f390578-1af2-4f5a-8bd9-12272a62ef5b,89a1d4cd-7be6-4aab-9fc7-8841635dfa91,Conditioner,10.0,10
3fab1218-a8ae-4ac9-9a52-959df530fb00,0dccc157-a204-488b-920d-5f331a120357,Hand Gel,17.0,15
eeeced56-4a37-4e4f-b6d2-cb4cfd0e301c,0dccc157-a204-488b-920d-5f331a120357,Foundation,25.0,10
c3a3235d-06b2-4fad-8304-e0cfcfe92de5,567f8779-29b7-4abf-b945-a616fff43277,Foundation,25.0,10
5418f3c2-003b-4c58-96dd-0ffe09496909,47835f0a-a063-4c7f-abe2-4e018b6f2d80,Cleanser,20.0,20
044b278a-bbc2-49f6-b769-07c939844739,47835f0a-a063-4c7f-abe2-4e018b6f2d80,Conditioner,10.0,10
a0529356-0f3a-4d0f-a8ae-33614c8383be,98eab02e-fad1-4b54-9e19-c3606807eb98,Styling Gel,21.5,20
26f64283-db08-4cc4-9314-19fec46c3d06,98eab02e-fad1-4b54-9e19-c3606807eb98,Cleanser,20.0,20
fef118ae-3a96-4de3-9db0-c0f1f8111ee4,20ae6bb1-0ab7-4813-85e3-8148affd041f,Conditioner,10.0,10
b72bc315-4936-450e-8131-18878099f2dd,1f0f9cc3-4c6b-4aa2-a73e-b6b78f5c7a5f,Anti Ageing Cream,15.0,15
ce9cf279-615f-4ef9-a829-f97b560c45e7,a1e6f7c9-1a7c-4f9e-a24b-253aef326e69,Mascara,20.0,10
